seriesID,year,period,value
CES5000000003,2017,M07,38.67
CES5000000003,2017,M06,38.5
CES5000000003,2017,M05,38.21
CES5000000003,2017,M04,38.01
CES5000000003,2017,M03,37.63
CES5000000003,2017,M02,37.58
CES5000000003,2017,M01,37.56
CES5000000003,2016,M12,37.51
CES5000000003,2016,M11,37.45
CES5000000003,2016,M10,37.38
CES5000000003,2016,M09,37.07
CES5000000003,2016,M08,36.85
CES5000000003,2016,M07,36.64
CES5000000003,2016,M06,36.52
CES5000000003,2016,M05,36.47
CES5000000003,2016,M04,36.25
CES5000000003,2016,M03,36.15
CES5000000003,2016,M02,36.24
CES5000000003,2016,M01,35.99
CES7000000003,2021,M08,18.82
CES7000000003,2021,M07,18.57
CES7000000003,2021,M06,18.42
CES7000000003,2021,M05,18.06
CES7000000003,2021,M04,17.85
CES7000000003,2021,M03,17.6
CES7000000003,2021,M02,17.38
CES7000000003,2021,M01,17.24
CES7000000003,2020,M12,17.15
CES7000000003,2020,M11,17.09
CES7000000003,2020,M10,17.12
CES7000000003,2020,M09,17.1
CES7000000003,2020,M08,17.06
CES7000000003,2020,M07,16.92
CES7000000003,2020,M06,17.02
CES7000000003,2020,M05,17.44
CES7000000003,2020,M04,18
CES7000000003,2020,M03,16.89
CES7000000003,2020,M02,16.9
CES7000000003,2020,M01,16.85
CES7000000003,2019,M12,16.79
CES7000000003,2019,M11,16.77
CES7000000003,2019,M10,16.71
CES7000000003,2019,M09,16.68
CES7000000003,2019,M08,16.62
CES7000000003,2019,M07,16.59
CES7000000003,2019,M06,16.55
CES7000000003,2019,M05,16.51
CES7000000003,2019,M04,16.44
CES7000000003,2019,M03,16.39
CES7000000003,2019,M02,16.38
CES7000000003,2019,M01,16.3
CES7000000003,2018,M12,16.28
CES7000000003,2018,M11,16.21
CES7000000003,2018,M10,16.16
CES7000000003,2018,M09,16.1
CES7000000003,2018,M08,16.06
CES7000000003,2018,M07,16
CES7000000003,2018,M06,15.94
CES7000000003,2018,M05,15.88
CES7000000003,2018,M04,15.87
CES7000000003,2018,M03,15.82
CES7000000003,2018,M02,15.74
CES7000000003,2018,M01,15.75
CES7000000003,2017,M12,15.7
CES7000000003,2017,M11,15.64
CES7000000003,2017,M10,15.59
CES7000000003,2017,M09,15.62
CES7000000003,2017,M08,15.54
CES7000000003,2017,M07,15.48
CES7000000003,2017,M06,15.46
CES7000000003,2017,M05,15.49
CES7000000003,2017,M04,15.39
CES7000000003,2017,M03,15.35
CES7000000003,2017,M02,15.29
CES7000000003,2017,M01,15.22
CES7000000003,2016,M12,15.16
CES7000000003,2016,M11,15.12
CES7000000003,2016,M10,15.08
CES7000000003,2016,M09,15.02
CES7000000003,2016,M08,14.98
CES7000000003,2016,M07,14.92
CES7000000003,2016,M06,14.86
CES7000000003,2016,M05,14.79
CES7000000003,2016,M04,14.74
CES7000000003,2016,M03,14.67
CES7000000003,2016,M02,14.63
CES7000000003,2016,M01,14.59
CES3000000003,2021,M08,29.85
CES3000000003,2021,M07,29.75
CES3000000003,2021,M06,29.62
CES3000000003,2021,M05,29.54
CES3000000003,2021,M04,29.36
CES3000000003,2021,M03,29.18
CES3000000003,2021,M02,29.14
CES3000000003,2021,M01,29.05
CES3000000003,2020,M12,29
CES3000000003,2020,M11,28.99
CES3000000003,2020,M10,28.86
CES3000000003,2020,M09,28.9
CES3000000003,2020,M08,28.95
CES3000000003,2020,M07,28.81
CES3000000003,2020,M06,28.64
CES3000000003,2020,M05,29.06
CES3000000003,2020,M04,29.31
CES3000000003,2020,M03,28.37
CES3000000003,2020,M02,28.23
CES3000000003,2020,M01,28.18
CES3000000003,2019,M12,28.14
CES3000000003,2019,M11,28.03
CES3000000003,2019,M10,27.93
CES3000000003,2019,M09,27.89
CES3000000003,2019,M08,27.82
CES3000000003,2019,M07,27.75
CES3000000003,2019,M06,27.67
CES3000000003,2019,M05,27.58
CES3000000003,2019,M04,27.48
CES3000000003,2019,M03,27.46
CES3000000003,2019,M02,27.41
CES3000000003,2019,M01,27.27
CES3000000003,2018,M12,27.3
CES3000000003,2018,M11,27.25
CES3000000003,2018,M10,27.16
CES3000000003,2018,M09,27.13
CES3000000003,2018,M08,27.09
CES3000000003,2018,M07,27.02
CES3000000003,2018,M06,27.03
CES3000000003,2018,M05,26.99
CES3000000003,2018,M04,26.95
CES3000000003,2018,M03,26.9
CES3000000003,2018,M02,26.84
CES3000000003,2018,M01,26.88
CES3000000003,2017,M12,26.77
CES3000000003,2017,M11,26.73
CES3000000003,2017,M10,26.74
CES3000000003,2017,M09,26.7
CES3000000003,2017,M08,26.61
CES3000000003,2017,M07,26.68
CES3000000003,2017,M06,26.57
CES3000000003,2017,M05,26.54
CES3000000003,2017,M04,26.55
CES3000000003,2017,M03,26.41
CES3000000003,2017,M02,26.4
CES3000000003,2017,M01,26.36
CES3000000003,2016,M12,26.32
CES3000000003,2016,M11,26.25
CES3000000003,2016,M10,26.28
CES3000000003,2016,M09,26.12
CES3000000003,2016,M08,26.13
CES3000000003,2016,M07,26
CES3000000003,2016,M06,25.99
CES3000000003,2016,M05,25.97
CES3000000003,2016,M04,25.86
CES3000000003,2016,M03,25.76
CES3000000003,2016,M02,25.66
CES3000000003,2016,M01,25.61
CES1000000003,2021,M08,35.53
CES1000000003,2021,M07,35.32
CES1000000003,2021,M06,35.06
CES1000000003,2021,M05,34.99
CES1000000003,2021,M04,35
CES1000000003,2021,M03,34.55
CES1000000003,2021,M02,34.78
CES1000000003,2021,M01,34.58
CES1000000003,2020,M12,34.67
CES1000000003,2020,M11,34.47
CES1000000003,2020,M10,34.89
CES1000000003,2020,M09,34.89
CES1000000003,2020,M08,34.8
CES1000000003,2020,M07,34.84
CES1000000003,2020,M06,34.94
CES1000000003,2020,M05,34.87
CES1000000003,2020,M04,34.74
CES1000000003,2020,M03,34.43
CES1000000003,2020,M02,34.41
CES1000000003,2020,M01,34.24
CES1000000003,2019,M12,34.38
CES1000000003,2019,M11,34.36
CES1000000003,2019,M10,34.53
CES1000000003,2019,M09,34.25
CES1000000003,2019,M08,34
CES1000000003,2019,M07,33.97
CES1000000003,2019,M06,33.57
